stat_description_en,stat_description,id,stat_description_full_en,stat_description_full,substat_description_en,substat_description,param_description_en,param_description
Proportion of People with MHG 60 Years and Older,Anteil Personen mit MHG 60 Jahre und älter,stat_description,NA,NA,NA,NA,NA,NA
Unemployment Rate,Erwerbslosenquote,stat_description,NA,NA,NA,NA,NA,NA
Employment Rate,Erwerbstätigenquote,stat_description,NA,NA,NA,NA,NA,NA
Employment Rate Women,Erwerbstätigenquote Frauen,stat_description,NA,NA,NA,NA,NA,NA
Employment Rate Men,Erwerbstätigenquote Männer,stat_description,NA,NA,NA,NA,NA,NA
Average Household Size,Durchschnittliche Haushaltsgröße,stat_description,NA,NA,NA,NA,NA,NA
Percentage of Single-Person Households,Anteil Einpersonenhaushalte,stat_description,NA,NA,NA,NA,NA,NA
Households with Children,Haushalte mit Kindern,stat_description,NA,NA,NA,NA,NA,NA
Apartments per Residential Building,Wohnungen je Wohngebäude,stat_description,NA,NA,NA,NA,NA,NA
Ownership Rate,Eigentümerquote,stat_description,NA,NA,NA,NA,NA,NA
Vacancy Rate,Leerstandsquote,stat_description,NA,NA,NA,NA,NA,NA
Average Living Space per Inhabitant,Durchschnittliche Wohnfläche je Einwohner,stat_description,NA,NA,NA,NA,NA,NA
Average Living Space per Apartment,Durchschnittliche Wohnfläche je Wohnung,stat_description,NA,NA,NA,NA,NA,NA
Share of Settlement and Traffic Area in Total Area,Anteil Siedlungs- und Verkehrsfläche an Gesamtfl.,stat_description,NA,NA,NA,NA,NA,NA
Share of Recreational Area in Total Area,Anteil Erholungsfläche an Gesamtfläche,stat_description,NA,NA,NA,NA,NA,NA
Share of Agricultural Area in Total Area,Anteil Landwirtschaftsfläche an Gesamtfläche,stat_description,NA,NA,NA,NA,NA,NA
Share of Forest Area in Total Area,Anteil Waldfläche an Gesamtfläche,stat_description,NA,NA,NA,NA,NA,NA
Change in Settlement and Traffic Area,Veränderung der Siedlungs- und Verkehrsfläche,stat_description,NA,NA,NA,NA,NA,NA
Share of Settlement Area in Total Area,Anteil Siedlungsfläche an Gesamtfläche,stat_description,NA,NA,NA,NA,NA,NA
Share of Traffic Area in Total Area,Anteil Verkehrsfläche an Gesamtfläche,stat_description,NA,NA,NA,NA,NA,NA
"Share of Sports, Leisure and Recreational Space in the Total Area","Anteil Sport-, Freizeit-, Erholungsfläche an Gesamtfläche",stat_description,NA,NA,NA,NA,NA,NA
Share of Settlement and Traffic Area in Total Area,Anteil Siedlungs- und Verkehrsfläche an Gesamtfläche,stat_description,NA,NA,NA,NA,NA,NA
Population Density (Inhabitants per Square Kilometer),Bevölkerungsdichte (Einwohner je qkm),stat_description,NA,NA,NA,NA,NA,NA
"Population Development per 10,000 Inhabitants per Year",Bevölkerungsentwicklung im Jahr je 10.000 Einw.,stat_description,NA,NA,NA,NA,NA,NA
Population 0 to 17 Years,Bevölkerung 0 bis 17 Jahre,stat_description,NA,NA,NA,NA,NA,NA
Population 18 to 24 Years,Bevölkerung 18 bis 24 Jahre,stat_description,NA,NA,NA,NA,NA,NA
Population 25 to 44 Years,Bevölkerung 25 bis 44 Jahre,stat_description,NA,NA,NA,NA,NA,NA
Population 45 to 64 Years,Bevölkerung 45 bis 64 Jahre,stat_description,NA,NA,NA,NA,NA,NA
Population 65 Years and Older,Bevölkerung 65 Jahre und älter,stat_description,NA,NA,NA,NA,NA,NA
Share of Foreigners in the Total Population,Anteil Ausländer an der Gesamtbevölkerung,stat_description,NA,NA,NA,NA,NA,NA
"Live Births per 10,000 Inhabitants",Lebendgeborene je 10.000 Einwohner,stat_description,NA,NA,NA,NA,NA,NA
"Deaths per 10,000 Inhabitants",Gestorbene je 10.000 Einwohner,stat_description,NA,NA,NA,NA,NA,NA
"Surplus Birth / Death per 10,000 Inh.",Geburten-/Gestorbenenüberschuss je 10.000 Einw.,stat_description,NA,NA,NA,NA,NA,NA
"Migration Balance per 10,000 Inhabitants",Wanderungssaldo je 10.000 Einwohner,stat_description,NA,NA,NA,NA,NA,NA
"Migration Balance per 10,000: Men 18 to 29 Years",Wanderungssaldo je 10 000: Männer 18 bis 29 Jahre,stat_description,NA,NA,NA,NA,NA,NA
"Migration Balance per 10,000: Women 18 to 29 Years",Wanderungssaldo je 10.000: Frauen 18 bis 29 Jahre,stat_description,NA,NA,NA,NA,NA,NA
Dependency Ratio,Altenquotient,stat_description,NA,NA,NA,NA,NA,NA
Youth Ratio,Jugendquotient,stat_description,NA,NA,NA,NA,NA,NA
Total Quotient,Gesamtquotient,stat_description,NA,NA,NA,NA,NA,NA
Percentage of Children 0-2 Years in Day Care.,Anteil betreute Kinder 0-2 Jahre in Tageseinricht.,stat_description,NA,NA,NA,NA,NA,NA
Proportion of Children 0-2 Years in Day Care,Anteil betreute Kinder 0-2 Jahre in Tagespflege,stat_description,NA,NA,NA,NA,NA,NA
Percentage of Children 3-5 Years in Day Care.,Anteil betreute Kinder 3-5 Jahre in Tageseinricht.,stat_description,NA,NA,NA,NA,NA,NA
Share of School Leavers with General University,Anteil Schulabgänger mit allgem. Hochschulreife,stat_description,NA,NA,NA,NA,NA,NA
Share of School Leavers without a Secondary School Leaving Certificate,Anteil Schulabgänger ohne Hauptschulabschluss,stat_description,NA,NA,NA,NA,NA,NA
Childcare Rate 0 to 2 Years,Betreuungsquote 0 bis 2 Jahre,stat_description,NA,NA,NA,NA,NA,NA
Childcare Rate 3 to 5 Years,Betreuungsquote 3 bis 5 Jahre,stat_description,NA,NA,NA,NA,NA,NA
Proportion of Male School Leavers without a Lower Secondary School Leaving Certificate,Anteil männl. Schulabgänger ohne Hauptschulabschl.,stat_description,NA,NA,NA,NA,NA,NA
Proportion of Male School Leavers with a Lower Secondary School Leaving Certificate,Anteil männl. Schulabgänger mit Hauptschulabschl.,stat_description,NA,NA,NA,NA,NA,NA
Percentage of Male School Leavers with General University,Anteil männl. Schulabg. mit allgem. Hochschulreife,stat_description,NA,NA,NA,NA,NA,NA
Full Day Care 0 to 2 Years,Ganztagsbetreuung 0 bis 2 Jahre,stat_description,NA,NA,NA,NA,NA,NA
Full Day Care 3 to 5 Years,Ganztagsbetreuung 3 bis 5 Jahre,stat_description,NA,NA,NA,NA,NA,NA
"Business Registrations per 10,000 Inhabitants",Gewerbeanmeldungen je 10.000 Einwohner,stat_description,NA,NA,NA,NA,NA,NA
"Corporate Insolvencies per 10,000 Units Enterprises.",Unternehmensinsolvenzen je 10.000 st.-pfl. Untern.,stat_description,NA,NA,NA,NA,NA,NA
"Second Vote Share CDU / CSU, Bundestag Election","Zweitstimmenanteil CDU/CSU, Bundestagswahl",stat_description,NA,NA,NA,NA,NA,NA
"SPD Second Vote, Bundestag Election","Zweitstimmenanteil SPD, Bundestagswahl",stat_description,NA,NA,NA,NA,NA,NA
"FDP Second Vote, Bundestag Election","Zweitstimmenanteil FDP, Bundestagswahl",stat_description,NA,NA,NA,NA,NA,NA
"Second Vote Share GREEN, Bundestag Election","Zweitstimmenanteil GRÜNE, Bundestagswahl",stat_description,NA,NA,NA,NA,NA,NA
"Second Vote Share DIE LINKE, Bundestag Election","Zweitstimmenanteil DIE LINKE, Bundestagswahl",stat_description,NA,NA,NA,NA,NA,NA
"Voter Turnout, Federal Election","Wahlbeteiligung, Bundestagswahl",stat_description,NA,NA,NA,NA,NA,NA
"CDU / CSU, European Elections","Stimmenanteil CDU/CSU, Europawahl",stat_description,NA,NA,NA,NA,NA,NA
"SPD Vote Share, European Elections","Stimmenanteil SPD, Europawahl",stat_description,NA,NA,NA,NA,NA,NA
"FDP Share of Votes, European Elections","Stimmenanteil FDP, Europawahl",stat_description,NA,NA,NA,NA,NA,NA
"Share of Votes GREEN, European Elections","Stimmenanteil GRÜNE, Europawahl",stat_description,NA,NA,NA,NA,NA,NA
"Share of Votes DIE LINKE, European Elections","Stimmenanteil DIE LINKE, Europawahl",stat_description,NA,NA,NA,NA,NA,NA
"Voter Turnout, European Elections","Wahlbeteiligung, Europawahl",stat_description,NA,NA,NA,NA,NA,NA
Job Density,Arbeitsplatzdichte,stat_description,NA,NA,NA,NA,NA,NA
"Share of Employment. Land and Forestry, Fishing","Anteil Erwerbst. Land- u. Forstwirtsch., Fischerei",stat_description,NA,NA,NA,NA,NA,NA
Share of Employed Manufacturing Industry,Anteil Erwerbstätige Produzierendes Gewerbe,stat_description,NA,NA,NA,NA,NA,NA
Share of Employed Manufacturing,Anteil Erwerbstätige Verarbeitendes Gewerbe,stat_description,NA,NA,NA,NA,NA,NA
Share of Employed Construction Workers,Anteil Erwerbstätige Baugewerbe,stat_description,NA,NA,NA,NA,NA,NA
Share of Employed Service Sectors,Anteil Erwerbstätige Dienstleistungsbereiche,stat_description,NA,NA,NA,NA,NA,NA
"Ant ET Trade, Transport, Hospitality, Inform., Commun.","Ant ET Handel, Verkehr, Gastgew., Inform., Kommun.",stat_description,NA,NA,NA,NA,NA,NA
"Ant ET Finanz, Vers., Unt-Dl., Grundst-, Wohngsw.","Ant ET Finanz-, Vers., Unt-dl., Grundst-, Wohngsw.",stat_description,NA,NA,NA,NA,NA,NA
"Ant ET Public U. Otherwise. DL, Education, Health.","Ant ET Öffentl. u. sonst. DL, Erzieh., Gesundh.",stat_description,NA,NA,NA,NA,NA,NA
Employment Rate,Beschäftigtenquote,stat_description,NA,NA,NA,NA,NA,NA
Employment Rate Men,Beschäftigtenquote Männer,stat_description,NA,NA,NA,NA,NA,NA
Employment Rate Women,Beschäftigtenquote Frauen,stat_description,NA,NA,NA,NA,NA,NA
Employment Rate Index,Index Beschäftigtenquote,stat_description,NA,NA,NA,NA,NA,NA
Unemployment Rate,Arbeitslosenquote,stat_description,NA,NA,NA,NA,NA,NA
Unemployment Rate Men,Arbeitslosenquote Männer,stat_description,NA,NA,NA,NA,NA,NA
Unemployment Rate Women,Arbeitslosenquote Frauen,stat_description,NA,NA,NA,NA,NA,NA
Unemployment Rate 15 to 24 Years,Arbeitslosenquote 15 bis 24 Jahre,stat_description,NA,NA,NA,NA,NA,NA
Unemployment Rate Foreigners,Arbeitslosenquote Ausländer,stat_description,NA,NA,NA,NA,NA,NA
Share of Unemployed 15-24 Years in Unemployment Cast.,Anteil Arbeitslose 15-24 Jahre an Arbeitsl. insg.,stat_description,NA,NA,NA,NA,NA,NA
Share of Unemployed 55-64 Years in Unemployment Cast.,Anteil Arbeitslose 55-64 Jahre an Arbeitsl. insg.,stat_description,NA,NA,NA,NA,NA,NA
Share of Long-Term Unemployed among Unemployed,Anteil Langzeitarbeitslose an Arbeitslosen insg.,stat_description,NA,NA,NA,NA,NA,NA
Share of Unemployed Foreigners in Total Unemployment,Anteil arbeitslose Ausländer an Arbeitslosen insg.,stat_description,NA,NA,NA,NA,NA,NA
Average Company Size,Durchschnittliche Betriebsgröße,stat_description,NA,NA,NA,NA,NA,NA
Cattle per 100 Ha Agricultural Used Area,Rinder je 100 ha landwirtschaftl. genutzter Fläche,stat_description,NA,NA,NA,NA,NA,NA
Pigs per 100 Ha Agricultural Genutz. Area,Schweine je 100 ha landwirtschaftl. genutz. Fläche,stat_description,NA,NA,NA,NA,NA,NA
Organic Farming,Ökologischer Landbau,stat_description,NA,NA,NA,NA,NA,NA
Investment per Employee,Investitionen je Beschäftigten,stat_description,NA,NA,NA,NA,NA,NA
Gross Wages per Employee,Bruttoentgelte je Beschäftigten,stat_description,NA,NA,NA,NA,NA,NA
Proportion of New Residential Buildings with 1 or 2 Apartments,Anteil neue Wohngebäude mit 1 oder 2 Wohnungen,stat_description,NA,NA,NA,NA,NA,NA
Average Length of Stay,Durchschnittliche Aufenthaltsdauer,stat_description,NA,NA,NA,NA,NA,NA
Nights per Inhabitant,Übernachtungen je Einwohner,stat_description,NA,NA,NA,NA,NA,NA
"Cars per 1,000 Inhabitants",Pkw je 1.000 Einwohner,stat_description,NA,NA,NA,NA,NA,NA
"Road Traffic Accidents per 10,000 Inhabitants",Straßenverkehrsunfälle je 10.000 Einwohner,stat_description,NA,NA,NA,NA,NA,NA
"Road Traffic Accidents per 10,000 Vehicles",Straßenverkehrsunfälle je 10.000 Kfz,stat_description,NA,NA,NA,NA,NA,NA
"Fatalities in Road Traffic Accidents per 100,000 Inhabitants",Getötete bei Straßenverkehrsunfällen je 100.000 EW,stat_description,NA,NA,NA,NA,NA,NA
"Injuries in Road Traffic Accidents per 100,000ew",Verletzte bei Straßenverkehrsunfällen je 100.000EW,stat_description,NA,NA,NA,NA,NA,NA
"Hospital Bed Density (Beds per 1,000 Inhabitants)",Krankenhausbettendichte (Betten je 1.000 Einw.),stat_description,NA,NA,NA,NA,NA,NA
"Persons in Need of Care per 1,000 Residents Aged 65 and over",Pflegebedürftige je 1.000 Einwohner ab 65 Jahre,stat_description,NA,NA,NA,NA,NA,NA
Personnel Each Need 100 Care. in Full Status Maintenance,Personal je 100 Pflegebedürft. in vollstat. Pflege,stat_description,NA,NA,NA,NA,NA,NA
Personnel per 100 in Need of Care in Outpatient Care,Personal je 100 Pflegebedürftige in ambul.Pflege,stat_description,NA,NA,NA,NA,NA,NA
"Places in Nursing Homes per 1,000 People Aged 65 and over",Plätze in Pflegeheimen je 1.000 Einw. ab 65 Jahre,stat_description,NA,NA,NA,NA,NA,NA
"Employees of the Federal Government, the States, the Municipalities / GV per 1,000 Inhabitants","Beschäftigte Bund, Länder, Gemeinden/GV je 1.000EW",stat_description,NA,NA,NA,NA,NA,NA
Disposable Income per Inhabitant,Verfügbares Einkommen je Einwohner,stat_description,NA,NA,NA,NA,NA,NA
Total Income per Taxpayer,Gesamtbetrag der Einkünfte je Steuerpflichtigen,stat_description,NA,NA,NA,NA,NA,NA
GDP per Person in Employment,BIP je Erwerbstätigen,stat_description,NA,NA,NA,NA,NA,NA
Change in GDP Compared to the Previous Year,Veränderung des BIP zum Vorjahr,stat_description,NA,NA,NA,NA,NA,NA
GDP per Inhabitant,BIP je Einwohner,stat_description,NA,NA,NA,NA,NA,NA
GDP per Hour Worked,BIP je Arbeitsstunde,stat_description,NA,NA,NA,NA,NA,NA
"BWS Agriculture and Forestry, Fishing","BWS Land- und Forstwirtsch., Fischerei",stat_description,NA,NA,NA,NA,NA,NA
BWS Manufacturing Industry,BWS Produzierendes Gewerbe,stat_description,NA,NA,NA,NA,NA,NA
BWS Manufacturing,BWS Verarbeitendes Gewerbe,stat_description,NA,NA,NA,NA,NA,NA
BWS Construction,BWS Baugewerbe,stat_description,NA,NA,NA,NA,NA,NA
BWS Service Areas,BWS Dienstleistungsbereiche,stat_description,NA,NA,NA,NA,NA,NA
"BWS Trade, Traffic, Hospitality, Inform., Commun.","BWS Handel, Verkehr, Gastgew., Inform., Kommun.",stat_description,NA,NA,NA,NA,NA,NA
"BWS Finance, Vers., Enterprise, Grundst-, Wohngsw.","BWS Finanz-, Vers., Untern-dl., Grundst-, Wohngsw.",stat_description,NA,NA,NA,NA,NA,NA
"BWS Public U. Other. Official, Education, Health","BWS Öffentl. u. sonst. Dienstl., Erzieh., Gesundh.",stat_description,NA,NA,NA,NA,NA,NA
Parental Allowance for Father,Elterngeldbezug Vater,stat_description,NA,NA,NA,NA,NA,NA
Household Waste per Inhabitant,Haushaltsabfälle je Einwohner,stat_description,NA,NA,NA,NA,NA,NA
Household and Bulky Waste,Haus- und Sperrmüll,stat_description,NA,NA,NA,NA,NA,NA
Separately Collected Recyclables,Getrennt erfasste Wertstoffe,stat_description,NA,NA,NA,NA,NA,NA
Organic Waste,Abfälle aus der Biotonne,stat_description,NA,NA,NA,NA,NA,NA
Biodegradable Garden and Park Waste,Biologisch abbaubare Garten- und Parkabfälle,stat_description,NA,NA,NA,NA,NA,NA
On Consumption. Fee Drinking Water Supply. per M³,verbrauchsabhängig. Entgelt Trinkw.versorg. pro m³,stat_description,NA,NA,NA,NA,NA,NA
Consumption Independently. Fee for Drinking Water Supply.,verbrauchsunabhängig. Entgelt f.Trinkw.versorg.,stat_description,NA,NA,NA,NA,NA,NA
Water Release per Inhabitant and Day (in Liters),Wasserabgabe je Einwohner und Tag (in Liter),stat_description,NA,NA,NA,NA,NA,NA
Guaranteed Minimum Rate,Mindestsicherungsquote,stat_description,NA,NA,NA,NA,NA,NA
Minimum Security Rate for Foreigners,Mindestsicherungsquote Ausländer,stat_description,NA,NA,NA,NA,NA,NA
SGB II Quota Up to 64 Years,SGB II-Quote bis 64 Jahre,stat_description,NA,NA,NA,NA,NA,NA
SGB II Women,SGB II Frauen,stat_description,NA,NA,NA,NA,NA,NA
Unemployment Beneficiary II,Empfänger Arbeitslosengeld II,stat_description,NA,NA,NA,NA,NA,NA
Recipient Unemployment Benefit II Up to 24 Years,Empfänger Arbeitslosengeld II bis 24 Jahre,stat_description,NA,NA,NA,NA,NA,NA
Recipients of Unemployment Benefit II Aged 55 and over,Empfänger Arbeitslosengeld II ab 55 Jahre,stat_description,NA,NA,NA,NA,NA,NA
Children Receiving Social Benefits,Kinder mit Bezug von Sozialgeld,stat_description,NA,NA,NA,NA,NA,NA
Basic Security Rate from the Age Limit,Grundsicherungsquote ab Altersgrenze,stat_description,NA,NA,NA,NA,NA,NA
Basic Security Rate Due to Reduced Earning Capacity,Grundsicherungsquote wegen Erwerbsminderung,stat_description,NA,NA,NA,NA,NA,NA
Basic Security Rate for Men above the Age Limit,Grundsicherungsquote Männer ab Altersgrenze,stat_description,NA,NA,NA,NA,NA,NA
Basic Security Rate for Women above the Age Limit,Grundsicherungsquote Frauen ab Altersgrenze,stat_description,NA,NA,NA,NA,NA,NA
Basic Security Rate Index,Index Grundsicherungsquote,stat_description,NA,NA,NA,NA,NA,NA
At-Risk-of-Poverty Rate (Federal Median),Armutsgefährdungsquote (Bundesmedian),stat_description,NA,NA,NA,NA,NA,NA
At-Risk-of-Poverty Rate (Regional Median),Armutsgefährdungsquote (regionaler Median),stat_description,NA,NA,NA,NA,NA,NA
Male Educational Staff,Männliches pädagogisches Personal,stat_description,NA,NA,NA,NA,NA,NA
Hours Worked,geleistete Arbeitsstunden,stat_description,NA,NA,NA,NA,NA,NA
Hours Worked,geleistete Arbeiterstunden,stat_description,NA,NA,NA,NA,NA,NA
Gross Expenditure of the Circles,Bruttoausgaben der Kreise,stat_description,NA,NA,NA,NA,NA,NA
District Net Expenditure,Nettoausgaben der Kreise,stat_description,NA,NA,NA,NA,NA,NA
Gross Municipal Expenditure,Bruttoausgaben der Gemeinden,stat_description,NA,NA,NA,NA,NA,NA
Net Municipal Expenditure,Nettoausgaben der Gemeinden,stat_description,NA,NA,NA,NA,NA,NA
Disposals of Building Land,Veräußerungsfälle von Bauland,stat_description,NA,NA,NA,NA,NA,NA
Sold Land,Veräußerte Baulandfläche,stat_description,NA,NA,NA,NA,NA,NA
Purchase Price,Kaufsumme,stat_description,NA,NA,NA,NA,NA,NA
Average Purchase Value per Square Meter,Durchschnittlicher Kaufwert je qm,stat_description,NA,NA,NA,NA,NA,NA
Residential Building,Wohngebäude,stat_description,NA,NA,NA,NA,NA,NA
Building,Gebäude,stat_description,NA,NA,NA,NA,NA,NA
New Non-Residential Buildings,Neue Nichtwohngebäude,stat_description,NA,NA,NA,NA,NA,NA
Total Residential Buildings,Wohngebäude insgesamt,stat_description,NA,NA,NA,NA,NA,NA
Total Non-Residential Buildings,Nichtwohngebäude insgesamt,stat_description,NA,NA,NA,NA,NA,NA
Civil Servants,Beschäftigte im öffentlichen Dienst,stat_description,NA,NA,NA,NA,NA,NA
Operations,Betriebe,stat_description,NA,NA,NA,NA,NA,NA
Agricultural Holdings with Animal Husbandry,Landwirtschaftliche Betriebe mit Tierhaltung,stat_description,NA,NA,NA,NA,NA,NA
Agricultural Holdings with Arable Land,Landwirtschaftliche Betriebe mit Ackerland,stat_description,NA,NA,NA,NA,NA,NA
Born Alive,Lebend Geborene,stat_description,NA,NA,NA,NA,NA,NA
Died,Gestorbene,stat_description,NA,NA,NA,NA,NA,NA
Marriages,Eheschließungen,stat_description,NA,NA,NA,NA,NA,NA
Divorces,Ehescheidungen,stat_description,NA,NA,NA,NA,NA,NA
Naturalizations of Foreigners,Einbürgerungen von Ausländern,stat_description,NA,NA,NA,NA,NA,NA
Population,Einwohner,stat_description,NA,NA,NA,NA,NA,NA
Average Annual Population,Durchschnittliche Jahresbevölkerung,stat_description,NA,NA,NA,NA,NA,NA
Immigration Across Municipal Boundaries,Zuzüge über die Gemeindegrenzen,stat_description,NA,NA,NA,NA,NA,NA
Moving Beyond the Municipal Borders,Fortzüge über die Gemeindegrenzen,stat_description,NA,NA,NA,NA,NA,NA
Immigration from Abroad Across Municipal Boundaries,Zuzüge aus dem  Ausland über die Gemeindegrenzen,stat_description,NA,NA,NA,NA,NA,NA
Moving Abroad Across Municipal Boundaries,Fortzüge ins Ausland über Gemeindegrenzen,stat_description,NA,NA,NA,NA,NA,NA
Immigration Across the District Borders,Zuzüge über die Kreisgrenzen,stat_description,NA,NA,NA,NA,NA,NA
Moving Beyond the District Borders,Fortzüge über die Kreisgrenzen,stat_description,NA,NA,NA,NA,NA,NA
Average Age of the Population,Durchschnittsalter der Bevölkerung,stat_description,NA,NA,NA,NA,NA,NA
Children Affected by Divorce,Von der Scheidung betroffene Kinder,stat_description,NA,NA,NA,NA,NA,NA
Population Status 30.06.,Bevölkerungsstand 30.06.,stat_description,NA,NA,NA,NA,NA,NA
Population Size,Bevölkerungsstand,stat_description,NA,NA,NA,NA,NA,NA
Population (from 15 Years),Bevölkerung (ab 15 Jahren),stat_description,NA,NA,NA,NA,NA,NA
Population,Bevölkerung,stat_description,NA,NA,NA,NA,NA,NA
Population in Private Households,Bevölkerung in privaten Haushalten,stat_description,NA,NA,NA,NA,NA,NA
Population by Employment Status,Bevölkerung nach Erwerbsstatus,stat_description,NA,NA,NA,NA,NA,NA
Students in General Education Schools,Schüler(innen) an allgemein bildenden Schulen,stat_description,NA,NA,NA,NA,NA,NA
Students at Vocational Schools,Schüler(innen) an beruflichen Schulen,stat_description,NA,NA,NA,NA,NA,NA
General Education Schools,Allgemein bildende Schulen,stat_description,NA,NA,NA,NA,NA,NA
Vocational Schools,Berufliche Schulen,stat_description,NA,NA,NA,NA,NA,NA
Graduates / Graduates (Professional),Absolventen/Abgänger (berufllich),stat_description,NA,NA,NA,NA,NA,NA
Message: Additional School Part D. Fachhochs.reife,nachrichtl.: zus.erw.schul.Teil d. Fachhochs.reife,stat_description,NA,NA,NA,NA,NA,NA
Graduates / Graduates,Absolventen/Abgänger,stat_description,NA,NA,NA,NA,NA,NA
Gross Domestic Product,Bruttoinlandsprodukt,stat_description,NA,NA,NA,NA,NA,NA
Gross Domestic Product per Person in Employment,Bruttoinlandsprodukt je Erwerbstätigen,stat_description,NA,NA,NA,NA,NA,NA
Gross Domestic Product per Inhabitant,Bruttoinlandsprodukt je Einwohner,stat_description,NA,NA,NA,NA,NA,NA
Agricultural Holdings,Landwirtschaftliche Betriebe,stat_description,NA,NA,NA,NA,NA,NA
Agricultural Companies (Sole Proprietorships),Landwirtschaftliche Betriebe (Einzelunternehmen),stat_description,NA,NA,NA,NA,NA,NA
Agricultura. Farms with Organic Farming,Landwirtsch. Betriebe mit ökologischem Landbau,stat_description,NA,NA,NA,NA,NA,NA
Agricultural Holdings,Landwirtschaftliche Betriebe mit Viehhaltung,stat_description,NA,NA,NA,NA,NA,NA
Agricultural Holdings with 100 U.m. GV,Landwirtschaftliche Betriebe mit 100 u.m. GV,stat_description,NA,NA,NA,NA,NA,NA
BWS at Basic Prices in Current Prices,BWS zu Herstellungspreisen in jeweiligen Preisen,stat_description,NA,NA,NA,NA,NA,NA
De-Domains,de-Domains,stat_description,NA,NA,NA,NA,NA,NA
Basic Security Recipients,Empfänger von Grundsicherung,stat_description,NA,NA,NA,NA,NA,NA
Gross Revenue of the Counties,Bruttoeinnahmen der Kreise,stat_description,NA,NA,NA,NA,NA,NA
Gross Income of the Municipalities,Bruttoeinnahmen der Gemeinden,stat_description,NA,NA,NA,NA,NA,NA
Total Amount of Income,Gesamtbetrag der Einkünfte,stat_description,NA,NA,NA,NA,NA,NA
Disposable Household Income,verfügbares Einkommen der privaten Haushalte,stat_description,NA,NA,NA,NA,NA,NA
Avail. Household Income per Inhabitant,verfüg. Einkommen der priv. Haushalte je Einwohner,stat_description,NA,NA,NA,NA,NA,NA
Gross Fees,Bruttoentgelte,stat_description,NA,NA,NA,NA,NA,NA
Yields per Hectare,Hektarerträge,stat_description,NA,NA,NA,NA,NA,NA
Unemployed Person,Arbeitslose,stat_description,NA,NA,NA,NA,NA,NA
Unemployment Rate on all Acquisition Persons.,Arbeitslosenquote bez. auf alle Erwerbspers.,stat_description,NA,NA,NA,NA,NA,NA
Unemployment Rate Based on All. Erwerbsp.,Arbeitslosenquote bez.auf alle abhäng. Erwerbsp.,stat_description,NA,NA,NA,NA,NA,NA
Employee,Beschäftigte,stat_description,NA,NA,NA,NA,NA,NA
To Social Security. Employees (Place of Work),Sozialversicherungspfl. Beschäftigte (Arbeitsort),stat_description,NA,NA,NA,NA,NA,NA
To Social Security. Employees (Place of Residence),Sozialversicherungspfl. Beschäftigte (Wohnort),stat_description,NA,NA,NA,NA,NA,NA
Federal Employees,Beschäftigte des Bundes,stat_description,NA,NA,NA,NA,NA,NA
Country Employees,Beschäftigte des Landes,stat_description,NA,NA,NA,NA,NA,NA
Employees of the Municipalities / Municipal Associations,Beschäftigte der Gemeinden/Gemeindeverbände,stat_description,NA,NA,NA,NA,NA,NA
Workforce,Arbeitskräfte,stat_description,NA,NA,NA,NA,NA,NA
Employees D. Municipalities / GA: Full-Time Equivalent,Beschäftigte d. Gemeinden/GV: Vollzeitäquivalent,stat_description,NA,NA,NA,NA,NA,NA
Average Annual Employee (Domestic Concept),Arbeitnehmer im Jahresdurchschn. (Inlandskonzept),stat_description,NA,NA,NA,NA,NA,NA
